category,rank,language,id,reference,generated_rci,bertscore_f1,bleu_score,rouge1,rouge2,rougeL
bottom,1,java,38,"Retrieves a specific, resolvable map `Intent` from a configured list if it matches the system's default map app, otherwise falls back to a generic `Intent` for any map application","Retrieves a preferred `Intent` for launching maps, prioritizing those specified in `config_homeCardPreferredMapActivities` and falling back to the default maps activity if no preferred activity is found or is invalid, while also ensuring the preferred activity is not the default.",60.64305901527405,7.528274645343134,25.71428571428572,8.823529411764707,17.142857142857142
bottom,2,python,5,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes from a list of predefined datatypes, where the keys are the last segment of the datatype name and the values are the full qualified names, based on whether the input fully qualified name (fqn) starts with a prefix of any of the predefined datatypes, excluding those that match the input fqn exactly.",60.96040010452271,1.9498021649134312,30.58823529411765,7.228915662650602,28.235294117647065
bottom,3,c,86,"Disables a specific LIN-to-CAN receive filter by clearing its callback pointer, or disables all filters if a special ID is passed, while ignoring out-of-bounds IDs","Removes a specified incoming message filter from the `incoming_callbacks` array of a `lin2can_data` structure, clearing either all filters or only the one matching the provided `filter_id`.",62.5432014465332,2.5984987978515037,31.03448275862069,3.571428571428571,20.689655172413797
bottom,4,cpp,63,"Thread-safely removes a connection, identified by its ID, from an internal collection if it exists","Removes a `DBusConnection` from the `connections_` map using the provided `ConnectionId_t` as a key, ensuring thread safety with a `recursive_mutex`.",62.69152760505676,1.389736936231864,21.05263157894737,5.555555555555555,15.789473684210526
bottom,5,cpp,70,Thread-safely removes all listeners from an internal collection that match the provided `Subscription` identifier,"Removes a listener from the `listeners_` map associated with a given subscription, ensuring thread safety via a recursive mutex and iterating through the map to find and erase the matching subscription.",64.24120664596558,1.533227700920213,26.086956521739136,0.0,17.391304347826086
bottom,6,python,7,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and array indicators.",64.24328684806824,3.6269399194517673,31.74603174603175,6.557377049180327,28.57142857142857
bottom,7,cpp,61,Thread-safely deallocates a collection of asynchronous D-Bus message reply handlers by moving them from a protected member list to a local copy before iterating through and deleting each one,"Deletes all `DBusMessageReplyAsyncHandler` objects stored in a thread-safe queue, ensuring proper cleanup of asynchronous handlers.",65.036541223526,2.8445770736995537,21.27659574468085,4.444444444444444,17.02127659574468
bottom,8,cpp,74,"Registers a D-Bus interface handler for a specific path, returning `false` if the exact handler is already registered, but allowing idempotent registration for standard `ObjectManager` and `Properties` interfaces","Adds a `DBusInterfaceHandler` to the `dbusRegisteredObjectsTable_` for a given `DBusInterfaceHandlerPath`, returning `true` if successful or if the handler is already registered for the `org.freedesktop.DBus.ObjectManager` or `org.freedesktop.DBus.Properties` interfaces, and `false` otherwise.",66.25660061836243,10.945882771578296,49.230769230769226,19.047619047619047,43.07692307692307
bottom,9,cpp,58,"Lazily initializes and returns a thread-safe, singleton `DBusObjectManager` instance using a double-checked locking pattern","Returns a shared pointer to a `DBusObjectManager` instance, lazily initializing it if it doesn't already exist, to manage D-Bus objects associated with the connection and ensure thread-safe access.",66.84632897377014,8.611161279613844,38.297872340425535,13.333333333333334,17.02127659574468
bottom,10,cpp,67,"Handles a D-Bus ""InterfacesRemoved"" signal by parsing the object path and interface names, and for any interface matching the one being observed, notifies listeners that its status has changed to ""NOT_AVAILABLE","Parses a `DBusMessage` containing an object path and a list of interface names, then removes the matching interface from the proxy and notifies the interface status changed event if the interface name matches the observed interface and the removal succeeds.",67.13055372238159,6.6574271638345,41.0958904109589,8.450704225352112,30.136986301369863
