kept_file,near_duplicate_of_kept_file
joynr/tests/inter-language-test/inter-language-test-jee-provider/src/main/java/io/joynr/test/interlanguage/jee/IltUtil.java,joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/IltUtil.java
odxtools/odxtools/securitymethod.py,odxtools/odxtools/checksumresult.py
odxtools/odxtools/securitymethod.py,odxtools/odxtools/fwchecksum.py
odxtools/odxtools/securitymethod.py,odxtools/odxtools/fwsignature.py
python-dlt/tests/dlt_main_loop_with_dlt_client_unit_test.py,python-dlt/tests/dlt_main_loop_unit_test.py
ramses-logic/doc/sphinx/classes/EStandardModule.rst,ramses-logic/doc/sphinx/classes/EFeatureLevel.rst
ramses-logic/doc/sphinx/classes/EStandardModule.rst,ramses-logic/doc/sphinx/classes/ERotationType.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBinding.rst,ramses-logic/doc/sphinx/classes/vec4f.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/EInterpolationType.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/ELogMessageType.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/ELuaSavingMode.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/EPropertyType.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/GetRamsesLogicVersion.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/IsPrimitiveProperty.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/LogicObject.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/LuaConfig.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/Property.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/PropertyLink.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/RamsesAppearanceBinding.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/RamsesBinding.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/RamsesCameraBinding.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/SetLogHandler.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/TimerNode.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/WarningData.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/vec2f.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/vec3i.rst
ramses-logic/doc/sphinx/classes/RamsesRenderGroupBindingElements.rst,ramses-logic/doc/sphinx/classes/vec4i.rst
ramses-logic/doc/sphinx/dev.rst,ramses/doc/sphinx/dev.rst
ramses-logic/lib/internals/DirectedAcyclicGraph.cpp,ramses/src/client/internal/logic/DirectedAcyclicGraph.cpp
ramses-logic/lib/internals/SolWrapper.h,ramses/src/client/internal/logic/SolWrapper.h
ramses-logic/unittests/api/AnimationNodeTest.cpp,ramses/tests/unittests/client/logic/api/AnimationNodeTest.cpp
ramses-logic/unittests/api/LogicEngineTest_DependencyExtraction.cpp,ramses/tests/unittests/client/logic/api/LogicEngineTest_DependencyExtraction.cpp
ramses-logic/unittests/api/LuaScriptTest_Runtime.cpp,ramses/tests/unittests/client/logic/api/LuaScriptTest_Runtime.cpp
ramses/doc/sphinx/examples/logic/08b_dynamic_animation.rst,ramses-logic/doc/sphinx/examples/08b_dynamic_animation.rst
ramses/doc/sphinx/examples/logic/13_render_order.rst,ramses-logic/doc/sphinx/examples/13_render_order.rst
ramses/doc/sphinx/lua_syntax.rst,ramses-logic/doc/sphinx/lua_syntax.rst
ramses/scripts/ci/common/clangtidy.py,ramses-logic/ci/scripts/common/clangtidy.py
ramses/scripts/ci/common/compilationdb.py,ramses-logic/ci/scripts/common/compilationdb.py
ramses/scripts/ci/common/repo.py,ramses-logic/ci/scripts/common/repo.py
ramses/scripts/code_style_checker/check_deprecated.py,ramses-logic/ci/scripts/code_style_checker/check_deprecated.py
ramses/scripts/code_style_checker/common_modules/common.py,ramses-logic/ci/scripts/code_style_checker/common_modules/common.py
ramses/src/client/impl/logic/AnimationNodeConfigImpl.cpp,ramses-logic/lib/impl/AnimationNodeConfigImpl.cpp
ramses/src/client/internal/logic/DirectedAcyclicGraph.h,ramses-logic/lib/internals/DirectedAcyclicGraph.h
ramses/src/client/internal/logic/EnvironmentProtection.cpp,ramses-logic/lib/internals/EnvironmentProtection.cpp
ramses/src/client/internal/logic/FileUtils.cpp,ramses-logic/lib/internals/FileUtils.cpp
ramses/src/client/internal/logic/InterfaceTypeFunctions.cpp,ramses-logic/lib/internals/InterfaceTypeFunctions.cpp
ramses/src/client/internal/logic/LuaTypeConversions.cpp,ramses-logic/lib/internals/LuaTypeConversions.cpp
ramses/src/client/internal/logic/PropertyTypeExtractor.cpp,ramses-logic/lib/internals/PropertyTypeExtractor.cpp
ramses/src/client/internal/logic/UpdateReport.cpp,ramses-logic/lib/internals/UpdateReport.cpp
ramses/tests/unittests/client/logic/api/CollectionTest.cpp,ramses-logic/unittests/api/CollectionTest.cpp
ramses/tests/unittests/client/logic/api/IteratorTest.cpp,ramses-logic/unittests/api/IteratorTest.cpp
ramses/tests/unittests/client/logic/api/LogicEngineTest_UpdateReport.cpp,ramses-logic/unittests/api/LogicEngineTest_UpdateReport.cpp
ramses/tests/unittests/client/logic/api/PropertyTypeTest.cpp,ramses-logic/unittests/api/PropertyTypeTest.cpp
ramses/tests/unittests/client/logic/internal/EnvironmentProtectionTest.cpp,ramses-logic/unittests/internal/EnvironmentProtectionTest.cpp
ramses/tests/unittests/client/logic/internal/LuaCustomizationsTest.cpp,ramses-logic/unittests/internal/LuaCustomizationsTest.cpp
ramses/tests/unittests/client/logic/internal/LuaTypeConversionsTest.cpp,ramses-logic/unittests/internal/LuaTypeConversionsTest.cpp
ramses/tests/unittests/client/logic/internal/PropertyTypeExtractorTest.cpp,ramses-logic/unittests/internal/PropertyTypeExtractorTest.cpp
ramses/tests/unittests/client/logic/internal/SolStateTest.cpp,ramses-logic/unittests/internal/SolStateTest.cpp
ramses/tests/unittests/client/logic/internal/TypeDataTest.cpp,ramses-logic/unittests/internal/TypeDataTest.cpp
ramses/tests/unittests/client/logic/internal/WrappedLuaPropertyTest.cpp,ramses-logic/unittests/internal/WrappedLuaPropertyTest.cpp
ramses/tests/unittests/client/utils/LuaScriptTest_Base.h,ramses-logic/unittests/shared/LuaScriptTest_Base.h
ramses/tests/unittests/renderer/embedded-compositor-wayland/main.cpp,ramses/tests/unittests/renderer/system-compositor-controller-wayland/main.cpp
ramses/tests/unittests/renderer/window-wayland-wl-shell/main.cpp,smrf/cpp/tests/test-main.cpp
ramses/tools/ramses-viewer/Result.h,ramses-logic/tools/ramses-logic-utils/Result.h
vsomeip/interface/compat/vsomeip/trace.hpp,vsomeip/interface/vsomeip/trace.hpp
vsomeip/test/unit_tests/main.cpp,muesli/tests/unit-tests/TestMain.cpp
vsomeip/test/unit_tests/main.cpp,vsomeip/test/unit_tests/protocol_tests/main.cpp
vsomeip_py/__init__.py,vsomeip_py/vsomeip_py/__init__.py
